undefined21-04-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo, USD, EUR,ubeswap, USD, EUR,bitcoin,6856.456278354705USD,6310.620650491164EUR,moola-market, USD, EUR,mobius,0.0032698282212558767USD,0.0030095891327825614EUR,weth,171.45641642665788USD,157.80694257134806EUR,wrapped-bitcoin,6853.868348285219USD,6308.238742946588EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,0.5347904942320182USD,0.4922275883770804EUR,truefeedbackchain,0.00011420291957614201USD,0.00010511373761291604EUR,premio, USD, EUR,usd-coin,0.9997959263158033USD,0.9202031724177283EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,3.419880359487937USD,3.1476271039494614EUR,saber, USD, EUR,fantom,0.0030190032823973283USD,0.002778663450088959EUR,avalanche-2, USD, EUR,wmatic, USD, EUR,binancecoin,15.027804337444612USD,13.831455861944999EUR,aave, USD, EUR,curve-dao-token, USD, EUR,celostarter, USD, EUR,sushi, USD, EUR,moola-celo-atoken, USD, EUR,
10-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.6576984350853627USD,1.402119463459204EUR,ubeswap, USD, EUR,bitcoin,15335.342198178862USD,12970.985144090215EUR,moola-market, USD, EUR,mobius,0.0049918296149338345USD,0.0042218398968302965EUR,weth,443.94977566799434USD,375.5029311048306EUR,wrapped-bitcoin,15299.438341423793USD,12935.64451879714EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.0285116039511935USD,1.7157617703888133EUR,truefeedbackchain,0.0004047160129784125USD,0.00034231811224543916EUR,premio, USD, EUR,usd-coin,0.9999006704466064USD,0.8454140170612604EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,8.899745525799277USD,7.527609459868135EUR,saber, USD, EUR,fantom,0.018056066643251514USD,0.015272236456394951EUR,avalanche-2,3.4123283379658065USD,2.8862257918032577EUR,wmatic, USD, EUR,binancecoin,27.97764626336301USD,23.664136695416534EUR,aave,55.02023658835731USD,46.53738157187422EUR,curve-dao-token,0.4504499688091467USD,0.3808545477281939EUR,celostarter, USD, EUR,sushi,0.6012763722590363USD,0.5085733850132558EUR,moola-celo-atoken, USD, EUR,
11-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.8600615142161527USD,1.574002653944853EUR,ubeswap, USD, EUR,bitcoin,15278.70965979927USD,12928.99690121876EUR,moola-market, USD, EUR,mobius,0.0053766464643977266USD,0.004549734368112752EUR,weth,450.3384900055315USD,381.08093362758177EUR,wrapped-bitcoin,15235.845486581195USD,12892.724809199894EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.252786688117921USD,1.9063306233522688EUR,truefeedbackchain,0.0004178378599879175USD,0.0003535785755003762EUR,premio, USD, EUR,usd-coin,0.9981437113448737USD,0.8446391899771468EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.009895078333397USD,7.6242633142365355EUR,saber, USD, EUR,fantom,0.02079322933822064USD,0.017595438598295713EUR,avalanche-2,3.5789975686617974USD,3.0285835325773043EUR,wmatic, USD, EUR,binancecoin,28.15111180787262USD,23.821752322939926EUR,aave,66.90511678147242USD,56.61577887164986EUR,curve-dao-token,0.5630742812167949USD,0.4764790875084648EUR,celostarter, USD, EUR,sushi,0.671140148919757USD,0.5679255054173858EUR,moola-celo-atoken, USD, EUR,
12-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.8215387403310759USD,1.5464299228401261EUR,ubeswap, USD, EUR,bitcoin,15686.905986213233USD,13317.69688820948EUR,moola-market, USD, EUR,mobius,0.0054446721383327595USD,0.004623642803232875EUR,weth,463.1504450135077USD,393.2003701526718EUR,wrapped-bitcoin,15638.724108792127USD,13276.791967917083EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.000194697094851USD,1.698103291797911EUR,truefeedbackchain,0.00041032275591678015USD,0.0003483512997679122EUR,premio, USD, EUR,usd-coin,0.9982137881833406USD,0.8474525615402186EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.28540941755885USD,7.88302474781553EUR,saber, USD, EUR,fantom,0.01975098267412073USD,0.016767972009865528EUR,avalanche-2,3.4938463799540425USD,2.9661672673431903EUR,wmatic, USD, EUR,binancecoin,27.939048497406986USD,23.719386063795007EUR,aave,54.467288939976164USD,46.241039824082414EUR,curve-dao-token,0.544661032145169USD,0.462424296884665EUR,celostarter, USD, EUR,sushi,0.6841675214412979USD,0.5808370165104947EUR,moola-celo-atoken, USD, EUR,
13-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.7845525679213392USD,1.5118836428583642EUR,ubeswap, USD, EUR,bitcoin,16265.149252483357USD,13779.93203759942EUR,moola-market, USD, EUR,mobius,0.0064737289895485306USD,0.005483144874483756EUR,weth,462.44869127350216USD,391.78930593905875EUR,wrapped-bitcoin,16242.764751750214USD,13760.967754271294EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.896790484098796USD,1.6069722788714023EUR,truefeedbackchain,0.0004116513370706057USD,0.0003487534826742397EUR,premio, USD, EUR,usd-coin,0.9982846299455476USD,0.8457527281976464EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.255213417156611USD,7.841072338295591EUR,saber, USD, EUR,fantom,0.017522790617352686USD,0.014845413347764869EUR,avalanche-2,3.426295916532368USD,2.902778458261722EUR,wmatic, USD, EUR,binancecoin,27.5443138396036USD,23.335707950795214EUR,aave,51.70507079572675USD,43.804846208564484EUR,curve-dao-token,0.5573938287239806USD,0.4722273960579281EUR,celostarter, USD, EUR,sushi,0.6907720407402487USD,0.5852262175473832EUR,moola-celo-atoken, USD, EUR,
14-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.8043996709726688USD,1.5245264556067843EUR,ubeswap, USD, EUR,bitcoin,16326.81487507908USD,13794.427927065117EUR,moola-market, USD, EUR,mobius,0.005813046837310991USD,0.004911408394563023EUR,weth,474.98461757952305USD,401.31165348523217EUR,wrapped-bitcoin,16289.176430702022USD,13762.627431241606EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.017595353872823USD,1.7046542089150276EUR,truefeedbackchain,0.00042668237793173566USD,0.00036050138102025717EUR,premio, USD, EUR,usd-coin,0.9995578778125989USD,0.8445204536165953EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.54588141865351USD,8.065257935331868EUR,saber, USD, EUR,fantom,0.018611736929089184USD,0.015724944860965904EUR,avalanche-2,3.6887378553935615USD,3.1165924815948993EUR,wmatic, USD, EUR,binancecoin,28.19283500399967USD,23.819957137869384EUR,aave,63.80889401176206USD,53.91175169717378EUR,curve-dao-token,0.6903686445811651USD,0.583288325594761EUR,celostarter, USD, EUR,sushi,0.9621790716818656USD,0.8129393245895812EUR,moola-celo-atoken, USD, EUR,
15-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.77474940612065USD,1.4994751247349014EUR,ubeswap, USD, EUR,bitcoin,16095.561510630652USD,13599.04334696278EUR,moola-market, USD, EUR,mobius,0.0056807851302544754USD,0.004799661271841216EUR,weth,462.1579049554932USD,390.47444094946667EUR,wrapped-bitcoin,16032.550683755228USD,13545.805877400699EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.9198208087780548USD,1.6220450824117267EUR,truefeedbackchain,0.00041128692809809585USD,0.0003474938578285127EUR,premio, USD, EUR,usd-coin,0.9990574634481446USD,0.8440976565225572EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.259845770135161USD,7.8235881321125795EUR,saber, USD, EUR,fantom,0.01798529477457228USD,0.015195667643267427EUR,avalanche-2,3.4982859459558204USD,2.9556808060223987EUR,wmatic, USD, EUR,binancecoin,27.953819650024514USD,23.618014499387826EUR,aave,67.00948011148802USD,56.61590768931558EUR,curve-dao-token,0.7135946170999261USD,0.6029118104200254EUR,celostarter, USD, EUR,sushi,1.0552608606725258USD,0.8915835696170508EUR,moola-celo-atoken, USD, EUR,
16-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.798784234983412USD,1.518333986122909EUR,ubeswap, USD, EUR,bitcoin,15984.673784156614USD,13494.485394017931EUR,moola-market, USD, EUR,mobius,0.0057746897674451556USD,0.004874375209872075EUR,weth,448.70222927745147USD,378.7446160085737EUR,wrapped-bitcoin,15932.846185317832USD,13448.740203718708EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.0406791308120753USD,1.722769891739382EUR,truefeedbackchain,0.00042328987291649666USD,0.0003572943255402126EUR,premio, USD, EUR,usd-coin,1.0006798920378457USD,0.8446628893903309EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,8.993130686186838USD,7.591002687772762EUR,saber, USD, EUR,fantom,0.0176094693812328USD,0.014866160584208041EUR,avalanche-2,3.545961291931629USD,2.993550166106762EUR,wmatic, USD, EUR,binancecoin,27.601590116985903USD,23.30164879902103EUR,aave,64.1045349088347USD,54.117945833526875EUR,curve-dao-token,0.7721612299449275USD,0.6518693205767259EUR,celostarter, USD, EUR,sushi,1.2394727382546975USD,1.0463802382529466EUR,moola-celo-atoken, USD, EUR,
17-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.7711865145703891USD,1.4934644690857484EUR,ubeswap, USD, EUR,bitcoin,16714.40386322188USD,14093.585337468716EUR,moola-market, USD, EUR,mobius,0.005679995487624812USD,0.004791610113387368EUR,weth,461.45612108146435USD,389.0998012958915EUR,wrapped-bitcoin,16681.707876202338USD,14066.01608121384EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.2623589978442378USD,1.9076211069822562EUR,truefeedbackchain,0.0005443937542443222USD,0.0004590328135788108EUR,premio, USD, EUR,usd-coin,0.9980196390764678USD,0.8415301596692756EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.240199078382828USD,7.7924446867818EUR,saber, USD, EUR,fantom,0.0192678463090151USD,0.016246648007761565EUR,avalanche-2,3.7017809793470122USD,3.121341721785393EUR,wmatic, USD, EUR,binancecoin,28.02227380326721USD,23.631743943771284EUR,aave,72.68257680963492USD,61.29467067510127EUR,curve-dao-token,0.8261555427421067USD,0.6966143536401426EUR,celostarter, USD, EUR,sushi,1.3284435734921005USD,1.1201436211685363EUR,moola-celo-atoken, USD, EUR,
18-11-2020,celo-euro, USD, EUR,celo-dollar, USD, EUR,celo,1.7552037942384613USD,1.4795613247798762EUR,ubeswap, USD, EUR,bitcoin,17651.82042768171USD,14879.725592257313EUR,moola-market, USD, EUR,mobius,0.0060878814978997465USD,0.0051316092479726585EUR,weth,483.0414044202417USD,407.18313314587533EUR,wrapped-bitcoin,17621.415760785643USD,14854.09576546464EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.197190778740227USD,1.8520604455972727EUR,truefeedbackchain,0.0006139278880504179USD,0.0005174933232512336EUR,premio, USD, EUR,usd-coin,0.9985568055193224USD,0.8417404491101546EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.65513827789998USD,8.13852846748402EUR,saber, USD, EUR,fantom,0.01949970406539719USD,0.01643672955021276EUR,avalanche-2,3.8508211859100037USD,3.2460766744111513EUR,wmatic, USD, EUR,binancecoin,28.496923304737354USD,24.02068358587586EUR,aave,79.58636656777706USD,67.0878848028739EUR,curve-dao-token,0.8797632222710057USD,0.7416025665559031EUR,celostarter, USD, EUR,sushi,1.3327763124015382USD,1.1234731219730676EUR,moola-celo-atoken, USD, EUR,
19-11-2020,celo-euro, USD, EUR,celo-dollar,1.0012856448088843USD,0.8437573794536835EUR,celo,1.7384451572514645USD,1.466931315701612EUR,ubeswap, USD, EUR,bitcoin,17829.934958345126USD,15041.921518713621EUR,moola-market, USD, EUR,mobius,0.00595741191560587USD,0.005025869286598321EUR,weth,478.8891132026241USD,404.09525372441067EUR,wrapped-bitcoin,17790.510774780207USD,15011.95322095344EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.117886192370405USD,1.787110491073605EUR,truefeedbackchain,0.0006199817321877321USD,0.0005231517452911862EUR,premio, USD, EUR,usd-coin,0.9994735400422438USD,0.8433737636113635EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.609427857508631USD,8.108608195867195EUR,saber, USD, EUR,fantom,0.017392120198183435USD,0.014675784081390706EUR,avalanche-2,3.7587164230020442USD,3.1716725746247296EUR,wmatic, USD, EUR,binancecoin,28.069265692770117USD,23.68015882418881EUR,aave,75.72282592000266USD,63.89628352216462EUR,curve-dao-token,0.762087831565329USD,0.6429224436069507EUR,celostarter, USD, EUR,sushi,1.1466741985332136USD,0.9673721941311668EUR,moola-celo-atoken, USD, EUR,
20-11-2020,celo-euro, USD, EUR,celo-dollar,1.0012856448088843USD,0.8437573794536835EUR,celo,1.7127190936160326USD,1.4432638494937995EUR,ubeswap, USD, EUR,bitcoin,17819.75743096837USD,15016.246273383784EUR,moola-market, USD, EUR,mobius,0.00597283483521592USD,0.005032208914026769EUR,weth,471.5178370425111USD,397.33582181196175EUR,wrapped-bitcoin,17778.711489658865USD,14981.657925836824EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.070684202084601USD,1.7448268412551564EUR,truefeedbackchain,0.0007071335312497465USD,0.0005958830413123501EUR,premio, USD, EUR,usd-coin,0.999588309817459USD,0.842286096266414EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,9.437208190765395USD,7.952489974945007EUR,saber, USD, EUR,fantom,0.01803946480610732USD,0.015201387966021622EUR,avalanche-2,3.639452035320714USD,3.0667223868783924EUR,wmatic, USD, EUR,binancecoin,28.046442178358358USD,23.632857712076586EUR,aave,75.82548627102719USD,63.89616581795169EUR,curve-dao-token,0.8013468216290424USD,0.675274131569433EUR,celostarter, USD, EUR,sushi,1.5564904516203801USD,1.3116140348287548EUR,moola-celo-atoken, USD, EUR,
21-11-2020,celo-euro, USD, EUR,celo-dollar,0.9967146740176571USD,0.8406271626371425EUR,celo,1.7462647676704404USD,1.4727962125237193EUR,ubeswap, USD, EUR,bitcoin,18628.813489036198USD,15711.504039026126EUR,moola-market, USD, EUR,mobius,0.006091444268178607USD,0.005137511912893285EUR,weth,509.76868323775096USD,429.9378879053528EUR,wrapped-bitcoin,18602.49780334958USD,15689.3094423494EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.099258903106589USD,1.7705107603622878EUR,truefeedbackchain,0.0007359245729400097USD,0.0006206773129684604EUR,premio, USD, EUR,usd-coin,0.9986499881186743USD,0.8422594026793123EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,10.198142637149234USD,8.601093103886376EUR,saber, USD, EUR,fantom,0.01847049894862618USD,0.01557798187227337EUR,avalanche-2,3.708675367606913USD,3.1278893876889295EUR,wmatic, USD, EUR,binancecoin,28.851114684946694USD,24.33297242305459EUR,aave,74.86713357287567USD,63.14279072109598EUR,curve-dao-token,0.8549202479219141USD,0.7210380272568453EUR,celostarter, USD, EUR,sushi,1.5750666317444246USD,1.328408047079982EUR,moola-celo-atoken, USD, EUR,
22-11-2020,celo-euro, USD, EUR,celo-dollar,1.0004637815939885USD,0.8438001575704035EUR,celo,1.7985021777706267USD,1.5168729232513476EUR,ubeswap, USD, EUR,bitcoin,18689.528655825852USD,15762.916674081463EUR,moola-market, USD, EUR,mobius,0.0072959394724861504USD,0.006153461014550069EUR,weth,547.6486549069059USD,461.89180438637896EUR,wrapped-bitcoin,18655.050804985327USD,15733.837744381883EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.381429683264949USD,2.0085192277328088EUR,truefeedbackchain,0.0007792905180325716USD,0.0006572606365233336EUR,premio, USD, EUR,usd-coin,0.9973565719780826USD,0.8411795090154633EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,10.984067120964479USD,9.26406106642554EUR,saber, USD, EUR,fantom,0.019945333433009933USD,0.016822073725401485EUR,avalanche-2,4.014871800511429USD,3.386179010397546EUR,wmatic, USD, EUR,binancecoin,30.45155540675402USD,25.683115894055064EUR,aave,70.21398583491035USD,59.21910757903595EUR,curve-dao-token,0.8551769571171843USD,0.721263942225249EUR,celostarter, USD, EUR,sushi,1.6529507244531745USD,1.3941135175603308EUR,moola-celo-atoken, USD, EUR,
23-11-2020,celo-euro, USD, EUR,celo-dollar,0.9969292255529814USD,0.8404003709196834EUR,celo,2.0198840298936456USD,1.7026026663619775EUR,ubeswap, USD, EUR,bitcoin,18390.61184379203USD,15501.83292598104EUR,moola-market, USD, EUR,mobius,0.006357677956192606USD,0.005359452582612835EUR,weth,560.4317813301428USD,472.3997175505858EUR,wrapped-bitcoin,18407.96662864878USD,15517.71338031807EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.151813535476351USD,1.8138088171372633EUR,truefeedbackchain,0.0008369003858086276USD,0.0007054978193324303EUR,premio, USD, EUR,usd-coin,0.9967233120011282USD,0.8401590108753039EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,11.212550003057661USD,9.451293861127354EUR,saber, USD, EUR,fantom,0.018828166229524965USD,0.01587065670635738EUR,avalanche-2,3.8951162009179288USD,3.283540111095617EUR,wmatic, USD, EUR,binancecoin,29.977302281631136USD,25.268497616534827EUR,aave,68.94826030996876USD,58.12262501044049EUR,curve-dao-token,0.7513259969845079USD,0.6333595508719758EUR,celostarter, USD, EUR,sushi,1.6172825181351087USD,1.3632413974689608EUR,moola-celo-atoken, USD, EUR,
24-11-2020,celo-euro, USD, EUR,celo-dollar,0.9967874889362807USD,0.8414879981600084EUR,celo,1.9487460794770979USD,1.645653704243869EUR,ubeswap, USD, EUR,bitcoin,18360.693300385865USD,15505.01794999028EUR,moola-market, USD, EUR,mobius,0.007720922910579931USD,0.006517115214976856EUR,weth,607.8974811882247USD,513.3499701440568EUR,wrapped-bitcoin,18430.871948635104USD,15564.281572720018EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.273388487038822USD,1.9191945607581633EUR,truefeedbackchain,0.0008818145680914088USD,0.0007446641846870145EUR,premio, USD, EUR,usd-coin,0.9979423497295987USD,0.8427303801914564EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,12.186270884135514USD,10.29091580098413EUR,saber, USD, EUR,fantom,0.022087278480070784USD,0.018651999883508383EUR,avalanche-2,4.070758681119089USD,3.4376254419272687EUR,wmatic, USD, EUR,binancecoin,30.89436317605904USD,26.08930108256018EUR,aave,72.10694374873245USD,60.89200657360448EUR,curve-dao-token,0.7385213363105725USD,0.6234597121133827EUR,celostarter, USD, EUR,sushi,1.5116538984733374USD,1.2761382210911862EUR,moola-celo-atoken, USD, EUR,
25-11-2020,celo-euro, USD, EUR,celo-dollar,0.9973832347108602USD,0.8383833915829578EUR,celo,1.9461192436099537USD,1.6357657694737484EUR,ubeswap, USD, EUR,bitcoin,19091.524181728702USD,16046.941545895852EUR,moola-market, USD, EUR,mobius,0.007439821498973911USD,0.006253370845068033EUR,weth,603.8507405726608USD,507.55285142131595EUR,wrapped-bitcoin,19070.87150373502USD,16029.582412419933EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.2599141412129526USD,1.8995188533712961EUR,truefeedbackchain,0.000883400286216725USD,0.0007425217923728839EUR,premio, USD, EUR,usd-coin,0.9974519348172106USD,0.8383852824161081EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,12.044747228461983USD,10.124609759542246EUR,saber, USD, EUR,fantom,0.023409106454088408USD,0.01967598602053553EUR,avalanche-2,4.257054136764098USD,3.5781689424119105EUR,wmatic, USD, EUR,binancecoin,33.74014404645124USD,28.359502054931475EUR,aave,66.52957037730538USD,55.919900200525255EUR,curve-dao-token,0.6864113807137218USD,0.5769472985971614EUR,celostarter, USD, EUR,sushi,1.336430137780788USD,1.1233056144184703EUR,moola-celo-atoken, USD, EUR,
26-11-2020,celo-euro, USD, EUR,celo-dollar,0.9946914210914151USD,0.834748024654181EUR,celo,1.879463987008198USD,1.5772029502255838EUR,ubeswap, USD, EUR,bitcoin,18753.288921684914USD,15737.328737432834EUR,moola-market, USD, EUR,mobius,0.007631756144510389USD,0.006404394226081816EUR,weth,568.1270716609761USD,476.7529222174534EUR,wrapped-bitcoin,18724.86362510089USD,15713.474882321341EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,2.2646129983306857USD,1.9004111421001564EUR,truefeedbackchain,0.0008777579174764838USD,0.0007365389571653632EUR,premio, USD, EUR,usd-coin,0.9991836163186216USD,0.8384919095914147EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,11.385734169132759USD,9.55343935502837EUR,saber, USD, EUR,fantom,0.022561431183789494USD,0.01893303413651898EUR,avalanche-2,4.040355334481183USD,3.390573268523927EUR,wmatic, USD, EUR,binancecoin,31.38573384098398USD,26.3381859674755EUR,aave,61.8972206018244USD,51.94272389297737EUR,curve-dao-token,0.6506695917672431USD,0.5459859638261791EUR,celostarter, USD, EUR,sushi,1.2200192294197347USD,1.023812076886768EUR,moola-celo-atoken, USD, EUR,
27-11-2020,celo-euro, USD, EUR,celo-dollar,1.0020834818375288USD,0.841366326769979EUR,celo,1.7527376719753813USD,1.471568752850105EUR,ubeswap, USD, EUR,bitcoin,17138.029512395206USD,14387.255809449201EUR,moola-market, USD, EUR,mobius,0.006485505850948289USD,0.005444290314107794EUR,weth,518.3693429588861USD,435.16743482858436EUR,wrapped-bitcoin,17132.539256877335USD,14382.646778373739EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.9019050448221404USD,1.5966359717928749EUR,truefeedbackchain,0.0008265372448201044USD,0.0006938722312657626EUR,premio, USD, EUR,usd-coin,1.0012388022463605USD,0.8405329658142006EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,10.372639848449213USD,8.707758544294158EUR,saber, USD, EUR,fantom,0.018242953642186418USD,0.015314831881939939EUR,avalanche-2,3.531787898047006USD,2.9649112178951786EUR,wmatic, USD, EUR,binancecoin,28.1837367602019USD,23.660049724032074EUR,aave,64.061804867464USD,53.77943675360202EUR,curve-dao-token,0.5902889245332084USD,0.4955434201231572EUR,celostarter, USD, EUR,sushi,1.4179130936960553USD,1.1903281167661777EUR,moola-celo-atoken, USD, EUR,
28-11-2020,celo-euro, USD, EUR,celo-dollar,1.0034600149511448USD,0.8387500811770356EUR,celo,1.775344822390146USD,1.484030265828973EUR,ubeswap, USD, EUR,bitcoin,17140.27555252362USD,14327.744877385607EUR,moola-market, USD, EUR,mobius,0.008859455222398593USD,0.007405716074410465EUR,weth,516.7024420196592USD,431.88986978166764EUR,wrapped-bitcoin,17106.663849059263USD,14298.741831547004EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.8592629872719064USD,1.5541783829534503EUR,truefeedbackchain,0.0008616140457410196USD,0.0007201869930449977EUR,premio, USD, EUR,usd-coin,1.0015837424709837USD,0.8372348677526644EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,10.3743231631933USD,8.672010849668075EUR,saber, USD, EUR,fantom,0.017975288354560658USD,0.01502574126374919EUR,avalanche-2,3.60239361115469USD,3.0112804458939357EUR,wmatic, USD, EUR,binancecoin,28.488120962645503USD,23.81353368200602EUR,aave,60.94939285731903USD,50.94503761493307EUR,curve-dao-token,0.6391645750008262USD,0.5342846990535169EUR,celostarter, USD, EUR,sushi,1.439727485115571USD,1.2034077362537332EUR,moola-celo-atoken, USD, EUR,
29-11-2020,celo-euro, USD, EUR,celo-dollar,0.9973510957858688USD,0.8336438922213831EUR,celo,1.846318594118535USD,1.543358022328222EUR,ubeswap, USD, EUR,bitcoin,17718.972832629497USD,14810.545193935972EUR,moola-market, USD, EUR,mobius,0.009152085739681109USD,0.007649844082198369EUR,weth,537.4167278027262USD,449.20407126773097EUR,wrapped-bitcoin,17694.61519991665USD,14790.185671771875EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.8903759559939506USD,1.5800858658251857EUR,truefeedbackchain,0.0008852034191330119USD,0.0007399043595096783EUR,premio, USD, EUR,usd-coin,0.9987218217410161USD,0.8347896244767996EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,10.771935960694586USD,9.003808848234222EUR,saber, USD, EUR,fantom,0.019360707478662666USD,0.01618280223169997EUR,avalanche-2,3.624877983365333USD,3.0298832614197693EUR,wmatic, USD, EUR,binancecoin,29.11177305406224USD,24.333308401422265EUR,aave,63.78184361606367USD,53.31256424123555EUR,curve-dao-token,0.6099627903110516USD,0.5098422779838131EUR,celostarter, USD, EUR,sushi,1.3640439447321413USD,1.1401470435559138EUR,moola-celo-atoken, USD, EUR,
30-11-2020,celo-euro, USD, EUR,celo-dollar,0.9984076921553289USD,0.8338351602189055EUR,celo,1.8125101754554929USD,1.5142108757993753EUR,ubeswap, USD, EUR,bitcoin,18169.95420978285USD,15179.579485845135EUR,moola-market, USD, EUR,mobius,0.008472496135799394USD,0.00708089711799045EUR,weth,573.1320666208034USD,478.8008329077497EUR,wrapped-bitcoin,18165.65340279144USD,15175.986497066795EUR,knoxedge, USD, EUR,poofcash, USD, EUR,resource-protocol, USD, EUR,solana,1.9133429784467306USD,1.598448817739921EUR,truefeedbackchain,0.0009339509258327978USD,0.0007802431503610875EUR,premio, USD, EUR,usd-coin,0.9996996969608474USD,0.8351711202344232EUR,chubbyakita, USD, EUR,chubbydoge, USD, EUR,allbridge, USD, EUR,compound-ether,11.470365454271374USD,9.582469474518316EUR,saber, USD, EUR,fantom,0.01925454780630596USD,0.016085672837439658EUR,avalanche-2,3.700930282082298USD,3.0918385781177506EUR,wmatic, USD, EUR,binancecoin,30.112082957074602USD,25.15629656816512EUR,aave,68.61749728160754USD,57.324566813995006EUR,curve-dao-token,0.6566721629181671USD,0.5485983716894183EUR,celostarter, USD, EUR,sushi,1.418253338883484USD,1.1848400408767152EUR,moola-celo-atoken, USD, EUR,
